,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,3+ BEDS,2+ BEDS
58,Pines At Glen Laurel Luxury Apartments,https://www.rentcafe.com/apartments/nc/clayton/pines-at-glen-laurel-luxury-apartments/default.aspx,"20 Pine Hall Drive,",Clayton,NC,4.00,27527,"$1,290+","$1,550","$1,850","$1,324+","$2,600","$1,820"
59,Summerwind Apartments,https://www.rentcafe.com/apartments/nc/garner/summerwind-apartments-0/default.aspx,"40 Summer Breeze Blvd,",Garner,NC,4.00,27529,"$1,474+","$1,504+","$1,904+","$1,324+","$2,600","$1,820"
60,Stone Gate,https://www.rentcafe.com/apartments/nc/charlotte/stone-gate0/default.aspx,"950 Southwood Oaks Ln,",Charlotte,NC,4.00,28212,"$1,200","$1,400","$1,904+","$1,324+","$2,600","$1,820"
61,Shadowood Apartments,https://www.rentcafe.com/apartments/nc/chapel-hill/shadowood-apartments-0/default.aspx,"110 Piney Mountain Rd,",Chapel Hill,NC,4.00,27514,"$1,271+","$1,582+","$1,904+","$1,324+","$2,600","$1,820"
62,Environs Lofts At East 54,https://www.rentcafe.com/apartments/nc/chapel-hill/environs-lofts-at-east-54/default.aspx,"5000 Environ Way,",Chapel Hill,NC,4.00,27517,"$1,375+","$2,012","$1,904+","$1,324+","$2,600","$1,820"
63,Selwyn Flats Apartments,https://www.rentcafe.com/apartments/nc/charlotte/selwyn-flats/default.aspx,"100 Matador Lane,",Charlotte,NC,4.00,28209,"$1,345+","$2,012","$1,904+","$1,320+","$2,600","$1,820"
64,Osprey Cove South Apartments,https://www.rentcafe.com/apartments/nc/jacksonville/osprey-cove-apartments/default.aspx,"1834 Wilmington Hwy,",Jacksonville,NC,4.00,28540,$750,$850,"$1,904+","$1,320+","$2,600","$1,820"
65,Poplin Glen,https://www.rentcafe.com/apartments/nc/indian-trail/popline-glen/default.aspx,"105 Briana Marie Way,",Indian Trail,NC,4.00,28079,$750,"$1,947","$1,795","$1,320+","$2,600","$1,820"
66,Nu Gastonia Apartments,https://www.rentcafe.com/apartments/nc/gastonia/nu-gastonia-apartments/default.aspx,"3129 Spring Valley Dr,",Gastonia,NC,4.00,28052,$750,$925,"$1,100","$1,320+","$2,600","$1,820"
67,The Retreat At Sedgefield,https://www.rentcafe.com/apartments/nc/greensboro/the-retreat-at-sedgefield/default.aspx,"2900 Queenstown Circle,",Greensboro,NC,4.00,27407,"$1,411+","$1,703+","$1,652+","$1,320+","$2,600","$1,820"
68,Pine Ridge,https://www.rentcafe.com/apartments/nc/durham/pine-ridge-2/default.aspx,"1 Swiftstone Court,",Durham,NC,4.00,27713,"$1,113+","$1,461+","$1,601+","$1,320+","$2,600","$1,820"
69,Dupont Circle,https://www.rentcafe.com/apartments/nc/durham/dupont-circle/default.aspx,"500 Dupont Circle Road,",Durham,NC,4.00,27705,"$1,096+","$1,461+","$1,601+","$1,320+","$2,600","$1,820"
70,Madison Woods,https://www.rentcafe.com/apartments/nc/greensboro/madison-woods0/default.aspx,"5505 Tomahawk Dr. Apt. A,",Greensboro,NC,4.00,27410,"$1,096+","$1,075+","$1,589","$1,320+","$2,600","$1,820"
71,Anson At The Lakes,https://www.rentcafe.com/apartments/nc/charlotte/anson-at-the-lakes/default.aspx,"8000 Waterford Lakes Dr,",Charlotte,NC,4.00,28210,"$1,202+","$1,401+","$1,605+","$1,320+","$2,600","$1,820"
72,Longview Village Apartments,https://www.rentcafe.com/apartments/nc/raleigh/longview-garden-apartments-llc/default.aspx,"700 Hampstead Place,",Raleigh,NC,4.00,27610,$995,"$1,195","$1,605+","$1,320+","$2,600","$1,820"
73,The Courtyard Lofts,https://www.rentcafe.com/apartments/nc/chapel-hill/413-west-franklin-street/default.aspx,"431 West Franklin Street,",Chapel Hill,NC,4.00,27516,Ask for pricing,"$1,975","$1,605+","$1,320+","$2,600","$1,820"
74,Colonial Village,https://www.rentcafe.com/apartments/nc/lincolnton/colonial-village1/default.aspx,"171 Donaldson Drive,",Lincolnton,NC,4.00,28092,$655+,$970,Ask for pricing,"$1,320+","$2,600","$1,820"
75,Northlake,https://www.rentcafe.com/apartments/nc/charlotte/northlake0/default.aspx,"8215 Crescent Ridge Drive,",Charlotte,NC,4.00,28269,Ask for pricing,"$1,555+","$1,860+","$1,320+","$2,600","$1,820"
76,West Pointe Apartments,https://www.rentcafe.com/apartments/nc/burlington/van-metre-west-pointe-apartments-l-l-c/default.aspx,"3102 Commerce Place,",Burlington,NC,4.00,27215,"$1,211+","$1,362+",Ask for pricing,"$1,320+","$2,600","$1,820"
77,Wexford Apartment Homes,https://www.rentcafe.com/apartments/nc/charlotte/wexford-apartment-homes/default.aspx,"1811 Wexford Meadows Ln,",Charlotte,NC,4.00,28262,Ask for pricing,"$1,362+",Ask for pricing,$945+,"$2,600",Ask for pricing
78,Lex At Brier Creek,https://www.rentcafe.com/apartments/nc/morrisville/lex-at-brier-creek/default.aspx,"200 Wind River Pkwy,",Morrisville,NC,4.00,27560,"$1,249+","$1,565+","$1,789+",$945+,"$2,600",Ask for pricing
79,Hawthorne At Horse Pen Creek,https://www.rentcafe.com/apartments/nc/greensboro/hawthorne-at-horse-pen-creek/default.aspx,"3311 Horse Pen Creek Road,",Greensboro,NC,4.00,27410,"$1,270+","$1,724","$1,899",$945+,"$2,600",Ask for pricing
80,Wayfare At Garden Crossing,https://www.rentcafe.com/apartments/nc/burlington/wayfare-at-garden-crossing/default.aspx,"130 Canary Place,",Burlington,NC,4.00,27215,"$1,195+","$1,325+","$1,899",$945+,"$2,600",Ask for pricing
81,Kaleido Noda,https://www.rentcafe.com/apartments/nc/charlotte/kaleido-noda/default.aspx,"127 Matheson Avenue,",Charlotte,NC,4.00,28206,"$1,560+","$1,325+","$1,899","$1,385+","$2,600","$1,895+"
82,Elizabeth Flats On 7th At Hawthorne,https://www.rentcafe.com/apartments/nc/charlotte/elizabeth-flats-on-7th-at-hawthorne/default.aspx,"1721 East 7Th Street,",Charlotte,NC,4.00,28204,"$1,560+","$1,325+","$1,899","$1,385+","$2,600","$1,895+"
83,Reserve At Blake Farm,https://www.rentcafe.com/apartments/nc/wilmington/reserve-at-blake-farm/default.aspx,"127 Edison Avenue,",Wilmington,NC,4.00,28411,"$1,500+","$1,715+","$1,980+","$1,385+","$2,600","$1,895+"
84,Bexley At Heritage,https://www.rentcafe.com/apartments/nc/wake-forest/bexley-at-heritage/default.aspx,"916 Sugar Gap Road,",Wake Forest,NC,4.00,27587,"$1,274+","$1,549+","$1,924+","$1,385+","$2,600","$1,895+"
85,Berkshire Ballantyne,https://www.rentcafe.com/apartments/nc/charlotte/berkshire-ballantyne0/default.aspx,"3570 Toringdon Way,",Charlotte,NC,4.00,28277,"$1,247","$1,549+","$1,924+","$1,272","$2,600","$1,820"
86,The Park At Aventino Apartments,https://www.rentcafe.com/apartments/nc/greensboro/the-park-at-aventino-apartments/default.aspx,"2826 Vanstory St,",Greensboro,NC,4.00,27407,$854+,"$1,091+","$1,924+","$1,272","$2,600","$1,820"
87,Hunters Chase,https://www.rentcafe.com/apartments/nc/greensboro/hunters-chase/default.aspx,"4600 Big Tree Way,",Greensboro,NC,4.00,27409,$893+,"$1,225+","$1,924+","$1,272","$2,600","$1,820"
88,Terrace At Olde Battleground,https://www.rentcafe.com/apartments/nc/greensboro/terrace-at-olde-battleground0/default.aspx,"3800 Cotswold Ave.,",Greensboro,NC,4.00,27410,"$1,175","$1,189","$1,660","$1,272","$2,600","$1,820"
89,The Pointe At Midtown,https://www.rentcafe.com/apartments/nc/raleigh/the-pointe-at-midtown/default.aspx,"835 Navaho Drive,",Raleigh,NC,4.00,27609,"$1,175","$1,741+",Ask for pricing,"$1,272","$2,600","$1,820"
90,Wildwood Apartments,https://www.rentcafe.com/apartments/nc/charlotte/wildwood-apartments/default.aspx,"1022 Forest Oak Drive,",Charlotte,NC,4.00,28209,"$1,125+","$1,343+",Ask for pricing,"$1,272","$2,600","$1,820"
91,Summermill At Falls River,https://www.rentcafe.com/apartments/nc/raleigh/summermill-at-falls-river0/default.aspx,"10311 Falls Mill Drive,",Raleigh,NC,4.00,27614,"$1,263+","$1,404+","$1,845+","$1,272","$2,600","$1,820"
92,Crossroads Station,https://www.rentcafe.com/apartments/nc/charlotte/crossroads-station/default.aspx,"6940 Hidden Forest Dr,",Charlotte,NC,4.00,28213,"$1,263+","$1,404+","$1,845+","$1,272","$2,600","$1,820"
93,Villas On Dalton,https://www.rentcafe.com/apartments/nc/king/villa-trace-apartments/default.aspx,"649 W. Dalton Rd.,",King,NC,4.00,27021,$850,"$1,404+","$1,845+","$1,272","$2,600","$1,820"
94,2918 North Apartments,https://www.rentcafe.com/apartments/nc/greensboro/2918-north-apartments/default.aspx,"2918 Martinsville Road,",Greensboro,NC,4.00,27408,$850,"$1,404+","$1,845+","$1,272","$2,600","$1,820"
95,Century Afton Ridge,https://www.rentcafe.com/apartments/nc/concord/century-afton-ridge/default.aspx,"410 Starmont Park Blvd,",Concord,NC,4.00,28027,"$1,398+","$1,514+","$1,784+","$1,272","$2,600","$1,820"
96,Bethabara Pointe,https://www.rentcafe.com/apartments/nc/winston-salem/bethabara-pointe/default.aspx,"1800 Bethabara Pointe Cir.,",Winston-Salem,NC,4.00,27106,"$1,398+",$755,$855,"$1,272","$2,600","$1,820"
97,Tartan Place,https://www.rentcafe.com/apartments/nc/fayetteville/tartan-place-0/default.aspx,"157 Treetop Dr.,",Fayetteville,NC,4.00,28311,"$1,398+","$1,175+",$855,"$1,272","$2,600","$1,820"
98,Emerson At Montford Park,https://www.rentcafe.com/apartments/nc/charlotte/emerson-at-montford-park/default.aspx,"1520 Mockingbird Ln,",Charlotte,NC,4.00,28209,"$1,825+","$1,952+",$855,"$1,324+","$2,600","$1,820"
99,Arlington West,https://www.rentcafe.com/apartments/nc/jacksonville/arlington-west/default.aspx,"5049 Western Blvd,",Jacksonville,NC,4.00,28546,"$1,144","$1,334",Ask for pricing,"$1,324+","$2,600","$1,820"
