,restaurant_name,restaurant_url,restaurant_tag,restaurant_neighborhood,restaurant_address,ratings,review_number,price
171,Deejai Thai,https://www.yelp.com/biz/deejai-thai-charlotte?sort_by=date_desc,"Thai,Sushi Bars,Asian Fusion,",,"613 Providence Rd,Charlotte, NC 28207",4,340,$$ 
172,Omakase By Primefish,https://www.yelp.com/biz/omakase-by-primefish-charlotte?sort_by=date_desc,"Sushi Bars,",,"2907 Providence Rd,Ste 101",5,1,
173,Euro Grill & Cafe,https://www.yelp.com/biz/euro-grill-and-cafe-charlotte?sort_by=date_desc,"Modern European,",,"2719 Central Ave,Charlotte, NC 28205",4.5,102,$$ 
174,The Cooking Pot,https://www.yelp.com/biz/the-cooking-pot-charlotte?sort_by=date_desc,"African,",,"5622 E Independence Blvd,Ste 129",3.5,41,Unclaimed 
175,Superica,https://www.yelp.com/biz/superica-charlotte-6?sort_by=date_desc,"Tex-Mex,",,"4223 Providence Rd,Charlotte, NC 28211",3.5,55,
176,The Mayobird,https://www.yelp.com/biz/the-mayobird-charlotte-7?sort_by=date_desc,"Salad,Bakeries,",,"1218 East Blvd,Charlotte, NC 28203",4,198,$$ 
177,Baoding,https://www.yelp.com/biz/baoding-charlotte?sort_by=date_desc,"Chinese,",,"4722 Sharon Rd,Ste F",4,264,$$ 
178,Que Onda Tacos + Tequila,https://www.yelp.com/biz/que-onda-tacos-tequila-charlotte-11?sort_by=date_desc,"Mexican,Bars,",,"333 W Trade St,Ste 101",4,485,$$ 
179,Haymaker,https://www.yelp.com/biz/haymaker-charlotte-2?sort_by=date_desc,"American (New),Southern,Cocktail Bars,",,"225 S Poplar St,Charlotte, NC 28202",3.5,299,$$ 
180,The Garden Grille & Bar,https://www.yelp.com/biz/the-garden-grille-and-bar-charlotte?sort_by=date_desc,"American (Traditional),",,"508 E Martin Luther King Jr Blvd,Charlotte, NC 28202",3.5,8,Unclaimed 
181,The Garden Grille & Bar,https://www.yelp.com/biz/the-garden-grille-and-bar-charlotte?sort_by=date_desc,"American (Traditional),",,"508 E Martin Luther King Jr Blvd,Charlotte, NC 28202",3.5,8,Unclaimed 
