,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,Studio,2+ BEDS,3 BEDS,4 BEDS
87,Bell Meadowmont,https://www.rentcafe.com/apartments/nc/chapel-hill/bell-meadowmont/default.aspx,"100 Village Crossing Drive,",Chapel Hill,NC,4.50,27517,"$1,895+","$2,125+",$923+,"$2,325+","$2,685+","$1,949"
88,2189 Bayside Street SW,https://www.rentcafe.com/apartments/nc/supply/2189-bayside-street-sw/default.aspx,"2189 Bayside Street SW,",Supply,NC,4.50,28462,"$1,895+","$2,125+",$923+,"$2,325+","$2,685+","$1,799"
89,The Villages At McCullers Walk,https://www.rentcafe.com/apartments/nc/raleigh/the-villages-at-mccullers-walk-0/default.aspx,"500 Shady Summit Way,",Raleigh,NC,4.50,27603,"$1,421+","$1,736+",$923+,"$2,325+","$2,021+","$1,799"
90,Ashley Park Apartments,https://www.rentcafe.com/apartments/nc/raleigh/ashley-park-apartments/default.aspx,"10300 Pine Lakes Court,",Raleigh,NC,4.50,27617,"$1,399+","$1,600+",$923+,"$2,325+","$1,955+","$1,799"
91,5400 Quail Creek Court,https://www.rentcafe.com/apartments/nc/raleigh/5400-quail-creek-court/default.aspx,"5400 Quail Creek Court,",Raleigh,NC,4.50,27609,"$1,399+","$1,075",$923+,"$2,325+","$1,955+","$1,799"
92,6202 Hunter Ave,https://www.rentcafe.com/apartments/nc/charlotte/6202-hunter-ave/default.aspx,"6202 Hunter Ave,",Charlotte,NC,4.50,28262,"$1,399+","$1,075",$923+,"$2,325+","$1,955+","$2,149"
93,Kings Pointe Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/kings-pointe-apartments/default.aspx,"230 Sawtooth Drive,",Fayetteville,NC,4.50,28314,$985+,$899,$923+,"$2,325+","$2,335","$2,149"
94,Lake In The Pines,https://www.rentcafe.com/apartments/nc/fayetteville/lake-in-the-pines/default.aspx,"848 Tamarack Dr,",Fayetteville,NC,4.50,28311,$845+,$847+,$795+,"$2,325+","$2,335","$2,149"
95,The Edge At West End,https://www.rentcafe.com/apartments/nc/durham/the-edge-at-west-end/default.aspx,"1808 Chapel Hill Rd,",Durham,NC,4.50,27707,Ask for pricing,"$1,200",$795+,"$2,325+","$2,335","$2,149"
96,Hawthorne At Pine Forest*,https://www.rentcafe.com/apartments/nc/oak-island/hawthorne-at-pine-forest-0/default.aspx,"1045 Woodsia Way,",Oak Island,NC,4.50,28461,"$1,300+","$1,682+",$795+,"$2,325+","$1,949+","$2,149"
97,Berewick Pointe Apartments,https://www.rentcafe.com/apartments/nc/charlotte/berewick-pointe/default.aspx,"9550 Gannon Drive,",Charlotte,NC,4.50,28278,"$1,525+","$1,710+",$795+,"$2,325+","$2,220+","$2,149"
98,Highland Vista,https://www.rentcafe.com/apartments/nc/creedmoor/highland-vista0/default.aspx,"320 Hidden Valley Dr,",Creedmoor,NC,4.50,27522,"$1,100","$1,200+",$795+,"$2,325+",Ask for pricing,"$2,149"
99,Thornberry,https://www.rentcafe.com/apartments/nc/charlotte/thornberry/default.aspx,"9920 Brickleberry Ln,",Charlotte,NC,4.50,28262,"$1,407+","$1,471+",$795+,"$2,325+","$1,777+","$2,149"
