,Unnamed: 0,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,4 BEDS,3+ BEDS,5 BEDS
38,38,Worthington Apartments And Townhomes,https://www.rentcafe.com/apartments/nc/charlotte/worthington-apartments-and-townhomes/default.aspx,1526 Flat River Dr Suite 118,Charlotte,NC,3.5,28262,"$1,330+","$1,710+","$1,990+","$1,825+","$2,187+",Ask for pricing,,
39,39,Southgate,https://www.rentcafe.com/apartments/nc/greenville/southgate-3/default.aspx,14A Merry Lane,Greenville,NC,4.5,27858,$955+,"$1,120+","$1,495","$1,825+","$2,187+",Ask for pricing,,
40,40,Autumn Park Apartments,https://www.rentcafe.com/apartments/nc/charlotte/autumn-park-apartments/default.aspx,1801 Interface Lane,Charlotte,NC,4.0,28262,"$1,171+","$1,488+","$1,498+","$1,825+","$2,187+",Ask for pricing,,
41,41,Legacy At Ardmore,https://www.rentcafe.com/apartments/nc/winston-salem/1606-covington-heights-winston-salem-nc-27103/default.aspx,1606 Covington Heights Cir,Winston Salem,NC,4.0,27103,"$1,475+","$2,100+","$2,780+","$1,825+","$2,187+",Ask for pricing,,
42,42,Somerset Apartments,https://www.rentcafe.com/apartments/nc/charlotte/somerset-apartments2/default.aspx,1400 Ventura Way Dr,Charlotte,NC,4.0,28213,"$1,057+","$2,100+","$2,780+",Ask for pricing,"$1,227+",Ask for pricing,,
43,43,Alexander Village,https://www.rentcafe.com/apartments/nc/charlotte/alexander-village-tc/default.aspx,9224 Graham Ridge Drive,Charlotte,NC,4.5,28262,"$1,555+","$1,574+",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
44,44,Stonewood Apartments,https://www.rentcafe.com/apartments/nc/mooresville/stonewood0/default.aspx,445 Stonewood Dr,Mooresville,NC,4.5,28115,$790+,Ask for pricing,Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
45,45,Regency Place,https://www.rentcafe.com/apartments/nc/raleigh/regency-place-1/default.aspx,6210 St Regis Circle,Raleigh,NC,4.5,27606,"$1,307+","$1,352+",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
46,46,1442 Barton Place (RCL)(V3),https://www.rentcafe.com/apartments/nc/raleigh/1442-barton-place-rcl-v3-0/default.aspx,1442 Barton Place (RCL)(V3),Raleigh,NC,4.5,27608,"$1,307+","$1,700",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
47,47,Hunters Run,https://www.rentcafe.com/apartments/nc/raleigh/hunters-run-1/default.aspx,5801 Blacksmith Drive,Raleigh,NC,3.5,27606,"$1,307+","$1,700",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
48,48,Lenox East,https://www.rentcafe.com/apartments/nc/durham/lenox-east/default.aspx,100 Mayfield Circle,Durham,NC,3.5,27705,"$1,320+","$1,549+",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
49,49,Capital Flats & Magnolia Square Apartments,https://www.rentcafe.com/apartments/nc/raleigh/capital-flats-magnolia-square-apartments/default.aspx,500 E Hargett St,Raleigh,NC,3.5,27601,"$1,200","$1,549+",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
50,50,Berrington Village Apartments,https://www.rentcafe.com/apartments/nc/asheville/berrington-village-apartments/default.aspx,"1 Overton Way,",Asheville,NC,3.5,28803,"$1,200","$1,549+",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
51,51,Autumn Park Apartments,https://www.rentcafe.com/apartments/nc/charlotte/autumn-park-apartments/default.aspx,"1801 Interface Lane,",Charlotte,NC,3.5,28262,"$1,171+","$1,488+","$1,498+",Ask for pricing,"$1,227+",Ask for pricing,,
52,52,Regency Place,https://www.rentcafe.com/apartments/nc/raleigh/regency-place-1/default.aspx,"6210 St Regis Circle,",Raleigh,NC,3.5,27606,"$1,307+","$1,352+","$1,498+",Ask for pricing,"$1,227+",Ask for pricing,,
53,53,Axis Berewick,https://www.rentcafe.com/apartments/nc/charlotte/axis-berewick/default.aspx,"7015 Skye Bridge Way,",Charlotte,NC,3.5,28278,"$1,510+","$1,802+",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
54,54,Triangle Park Apartments,https://www.rentcafe.com/apartments/nc/durham/triangle-park-apartments/default.aspx,"5011 S. Alston Ave,",Durham,NC,3.5,27713,"$1,200","$1,400",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
55,55,Magnolia Heights,https://www.rentcafe.com/apartments/nc/charlotte/sterling-magnolia/default.aspx,"3720-103 Wendwood Lane,",Charlotte,NC,3.5,28211,"$1,755","$2,145",Ask for pricing,Ask for pricing,"$1,227+",Ask for pricing,,
56,56,Rose Heights Apartments,https://www.rentcafe.com/apartments/nc/raleigh/rose-heights-apartments/default.aspx,"3801 Glen Verde Trail #101,",Raleigh,NC,3.5,27613,"$1,347+","$1,318+","$1,966+",Ask for pricing,"$1,227+",Ask for pricing,,
57,57,Chambers Ridge,https://www.rentcafe.com/apartments/nc/carrboro/chambers-ridge/default.aspx,"201 Westbrook Drive #B-2,",Carrboro,NC,3.5,27510,"$1,345+","$1,570+","$1,966+",Ask for pricing,"$1,227+",Ask for pricing,,
58,58,Cambridge Apartments,https://www.rentcafe.com/apartments/nc/raleigh/cambridge-apartments-1/default.aspx,"6801 Chesterbrook Court,",Raleigh,NC,3.5,27615,"$1,177+","$1,409+","$1,966+",Ask for pricing,"$1,227+",Ask for pricing,,
59,59,712 Tucker,https://www.rentcafe.com/apartments/nc/raleigh/712-tucker-management-inc/default.aspx,"712 Tucker Street,",Raleigh,NC,3.5,27603,"$1,566+","$2,715+","$1,966+",Ask for pricing,"$1,227+",Ask for pricing,,
60,60,Link Apartments® 4th Street,https://www.rentcafe.com/apartments/nc/winston-salem/501-west-4th-street-winston-salem-nc-27101/default.aspx,"501 West 4Th Street,",Winston-Salem,NC,3.5,27101,"$1,348+","$1,873+","$1,966+",Ask for pricing,"$1,227+",Ask for pricing,,
61,61,Link Apartments® Glenwood South,https://www.rentcafe.com/apartments/nc/raleigh/link-apartments-glenwood-south/default.aspx,"202 North West Street,",Raleigh,NC,3.5,27603,"$1,407+","$2,094+","$1,966+","$1,452+","$1,227+",Ask for pricing,,
62,62,Link Apartments® Linden,https://www.rentcafe.com/apartments/nc/chapel-hill/411-flemington-road-chapel-hill-nc-27517/default.aspx,"100 Brandon Road,",Chapel Hill,NC,3.5,27517,"$1,607+",Ask for pricing,"$1,966+","$1,452+","$1,227+",Ask for pricing,,
63,63,Link Apartments® Innovation Quarter,https://www.rentcafe.com/apartments/nc/winston-salem/link-apartments-innovation-quarter/default.aspx,"530 N Patterson Ave,",Winston Salem,NC,3.5,27101,"$1,220+","$1,829+","$1,966+","$1,452+","$1,227+",Ask for pricing,,
64,64,The Villagio Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/the-villagio-apartments-phase-i/default.aspx,"710 Villagio Place,",Fayetteville,NC,3.5,28303,"$1,330+","$1,829+","$1,966+",Ask for pricing,"$1,479+",Ask for pricing,,
65,65,Hunter's  Ridge Apartments,https://www.rentcafe.com/apartments/nc/fayetteville/hunter-s-ridge-apartments2/default.aspx,"522-584 Lambert St,",Fayetteville,NC,3.5,28305,"$1,330+",$995+,"$1,966+",Ask for pricing,"$1,479+",Ask for pricing,,
66,66,Glen Lennox Apartments,https://www.rentcafe.com/apartments/nc/chapel-hill/glen-lennox-apartments0/default.aspx,"140 Hamilton Rd,",Chapel Hill,NC,3.5,27514,"$1,067+",$998+,"$1,440+",Ask for pricing,"$1,479+",Ask for pricing,,
67,67,Huntington Apartments,https://www.rentcafe.com/apartments/nc/morrisville/huntington-apartments-2/default.aspx,"2408 Duck Pond Circle,",Morrisville,NC,3.5,27560,"$1,410","$1,530","$1,930",Ask for pricing,"$1,479+",Ask for pricing,,
68,68,Heritage At The Peak,https://www.rentcafe.com/apartments/nc/asheville/hawthorne-at-the-park-1/default.aspx,"50 Barnwood Dr.,",Asheville,NC,3.5,28804,"$1,480+","$1,490+","$1,895",Ask for pricing,"$1,479+",Ask for pricing,,
69,69,The Dartmouth North Hills Apartments,https://www.rentcafe.com/apartments/nc/raleigh/the-dartmouth-north-hills-apartments/default.aspx,"104 Dartmouth Rd.,",Raleigh,NC,3.5,27609,"$1,968+","$1,490+","$1,895","$1,825+","$2,187+",Ask for pricing,,
70,70,Alta Croft,https://www.rentcafe.com/apartments/nc/charlotte/4414-johnston-oehler-road-charlotte-nc-282690/default.aspx,"3030 Barrow Road,",Charlotte,NC,3.5,28269,"$1,381+","$2,168+","$2,117+","$1,825+","$2,187+",Ask for pricing,,
71,71,The Pointe At Irving Park,https://www.rentcafe.com/apartments/nc/greensboro/the-point-at-irving-park/default.aspx,"3100 N. Elm Street,",Greensboro,NC,3.5,27408,Ask for pricing,"$1,200","$2,117+","$1,825+","$2,187+",Ask for pricing,,
72,72,University Ridge Apartments,https://www.rentcafe.com/apartments/nc/durham/university-ridge-apartments/default.aspx,"3611 University Dr,",Durham,NC,3.5,27707,"$1,048+","$1,399+","$2,117+","$1,825+","$2,187+",Ask for pricing,,
73,73,Ardmore At The Trail,https://www.rentcafe.com/apartments/nc/indian-trail/ardmore-at-the-trail/default.aspx,"321 E. Park Road,",Indian Trail,NC,3.5,28079,"$1,475+","$1,675+","$2,245+","$1,825+","$2,187+",Ask for pricing,,
74,74,Greenway At Fisher Park,https://www.rentcafe.com/apartments/nc/greensboro/greenway-at-fisher-park/default.aspx,"404 West Smith Street,",Greensboro,NC,3.5,27401,"$1,455","$1,719","$2,245+","$1,825+","$2,187+",Ask for pricing,,
75,75,Greenway At Stadium Park,https://www.rentcafe.com/apartments/nc/greensboro/greenway-at-stadium-park/default.aspx,"451 North Eugene Street,",Greensboro,NC,3.5,27401,"$1,609+","$1,909+","$2,245+","$1,825+","$2,187+",Ask for pricing,,
76,76,Residence At Tailrace Marina,https://www.rentcafe.com/apartments/nc/mount-holly/residence-at-tailrace-marina/default.aspx,"1001 Marina Village Drive,",Mount Holly,NC,3.5,28120,"$1,251+","$1,789+","$2,245+","$1,825+","$2,187+",Ask for pricing,,
77,77,Village On The Lake Apartments,https://www.rentcafe.com/apartments/nc/spring-lake/village-on-the-lake-apartments-l-l-c/default.aspx,"605 Village Lake Court,",Spring Lake,NC,3.5,28390,"$1,092+","$1,309+","$1,366+","$1,825+","$2,187+",Ask for pricing,,
78,78,Ardmore At Bryton,https://www.rentcafe.com/apartments/nc/huntersville/ardmore-at-bryton/default.aspx,"13035 Ardmore Forest Rd,",Huntersville,NC,3.5,28078,"$1,363+","$1,733+","$2,200+","$1,825+","$2,187+",Ask for pricing,,
79,79,Cedar Springs Apartments,https://www.rentcafe.com/apartments/nc/raleigh/cedar-springs-2/default.aspx,"5500 Reunion Point,",Raleigh,NC,3.5,27609,Ask for pricing,"$1,410+","$2,200+","$1,825+","$2,187+",Ask for pricing,,
80,80,Stone Gate Apartments,https://www.rentcafe.com/apartments/nc/spring-lake/stone-gate-nc-apartments-l-l-c/default.aspx,"201 Stonebriar Circle,",Spring Lake,NC,3.5,28390,"$1,374+","$1,463+","$1,725+","$1,825+","$2,187+",Ask for pricing,,
81,81,Abberly Grove Apartment Homes,https://www.rentcafe.com/apartments/nc/raleigh/abberly-grove-apartment-homes/default.aspx,"1160 Auston Grove Dr.,",Raleigh,NC,3.5,27610,"$1,381+","$1,790+","$2,316+","$1,825+","$2,187+",Ask for pricing,,
82,82,Abberly Woods Apartment Homes,https://www.rentcafe.com/apartments/nc/charlotte/abberly-woods-apartment-homes/default.aspx,"5301 Roundstone Way,",Charlotte,NC,3.5,28216,"$1,272+","$1,463+","$1,796+","$1,825+","$2,187+",Ask for pricing,,
