,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,4 BEDS
61,Hawthorne At Weaverville,https://www.rentcafe.com/apartments/nc/weaverville/hawthorne-at-weaverville/default.aspx,"20 Weaver View Circle,",Weaverville,NC,3.00,28787,"$1,486+","$1,830+","$2,883+","$1,438+","$2,111+","$2,485"
62,Riverwalk Apartment Homes,https://www.rentcafe.com/apartments/nc/denver/riverwalk-3/default.aspx,"6857 Riverwalk Loop,",Denver,NC,3.00,28037,"$1,239+","$1,388+","$1,694+","$1,438+","$2,111+","$2,485"
63,Avenues At Steele Creek,https://www.rentcafe.com/apartments/nc/charlotte/the-avenues-at-steele-creek/default.aspx,"13001 Yorkridge Drive,",Charlotte,NC,3.00,28273,"$1,490+","$1,584+","$1,836+","$1,438+","$2,111+","$2,485"
64,Lexington Station,https://www.rentcafe.com/apartments/nc/lexington/lexington-station/default.aspx,"110 Ridge Mill Cir,",Lexington,NC,3.00,27295,$900+,"$1,000+",Ask for pricing,"$1,438+","$2,111+","$2,485"
65,The Grove At Park Place,https://www.rentcafe.com/apartments/nc/fayetteville/the-grove-at-park-place/default.aspx,"2640 Latrobe Avenue,",Fayetteville,NC,3.00,28304,"$1,260","$1,400",Ask for pricing,"$1,438+","$2,111+","$2,485"
66,Bell Preston Reserve,https://www.rentcafe.com/apartments/nc/cary/bell-preston-reserve/default.aspx,"200 Berwick Valley Lane,",Cary,NC,3.00,27513,"$1,328+","$1,634+","$2,149+","$1,438+","$2,111+","$2,485"
67,Madison Farms,https://www.rentcafe.com/apartments/nc/charlotte/madison-farms0/default.aspx,"12525 Oldehurst Place,",Charlotte,NC,3.00,28262,"$1,395+","$1,625+","$2,100","$1,438+","$2,111+","$2,485"
68,Madison Place,https://www.rentcafe.com/apartments/nc/charlotte/madison-place1/default.aspx,"3010 Furr Court,",Charlotte,NC,3.00,28273,"$1,490+","$1,865+","$2,290+","$1,438+","$2,111+","$2,485"
69,Crestview Huntington,https://www.rentcafe.com/apartments/nc/concord/huntington-crestview/default.aspx,"1100 Crystalwood Ct NW,",Concord,NC,3.00,28027,"$1,095+","$1,865+","$2,290+",$822+,"$1,194+","$2,485"
70,17 Social,https://www.rentcafe.com/apartments/nc/wilmington/17-social/default.aspx,"1625 S 17Th Street,",Wilmington,NC,3.00,28401,"$1,540+","$1,855+","$2,290+",Ask for pricing,"$1,194+","$2,485"
71,River Mills Loft And Skyloft*,https://www.rentcafe.com/apartments/nc/asheville/river-mills-loft-and-skyloft/default.aspx,"100 River Mill Drive,",Asheville,NC,3.00,28803,"$1,540+","$1,855+","$2,290+",Ask for pricing,"$1,194+","$2,485"
72,Poplar Place,https://www.rentcafe.com/apartments/nc/carrboro/poplar-place/default.aspx,"605 Jones Ferry Rd.,",Carrboro,NC,3.00,27510,"$1,207+","$1,357+","$2,290+",Ask for pricing,"$1,194+","$2,485"
